iter	Passed	Remaining
803	19358	4719
804	19382	4695
805	19406	4670
806	19451	4651
807	19476	4628
808	19500	4604
809	19524	4579
810	19549	4556
811	19574	4532
812	19597	4507
813	19622	4483
814	19646	4459
815	19672	4435
816	19695	4411
817	19719	4387
818	19744	4363
819	19768	4339
820	19792	4315
821	19815	4291
822	19839	4266
823	19862	4242
824	19887	4218
825	19911	4194
826	19936	4170
827	19959	4146
828	19985	4122
829	20008	4098
830	20032	4074
831	20057	4050
832	20080	4025
833	20104	4001
834	20127	3977
835	20151	3953
836	20175	3929
837	20201	3905
838	20225	3881
839	20249	3857
840	20273	3832
841	20296	3808
842	20323	3785
843	20346	3760
844	20371	3736
845	20395	3712
846	20419	3688
847	20442	3664
848	20466	3640
849	20491	3616
850	20515	3592
851	20539	3567
852	20562	3543
853	20588	3519
854	20613	3495
855	20637	3471
856	20661	3447
857	20685	3423
858	20709	3399
859	20732	3375
860	20757	3351
861	20781	3326
862	20806	3303
863	20830	3278
864	20854	3254
865	20878	3230
866	20902	3206
867	20926	3182
868	20951	3158
869	20974	3134
870	20997	3109
871	21022	3085
872	21045	3061
873	21069	3037
874	21092	3013
875	21115	2988
876	21142	2965
877	21165	2940
878	21189	2916
879	21212	2892
880	21236	2868
881	21260	2844
882	21284	2820
883	21307	2795
884	21330	2771
885	21354	2747
886	21378	2723
887	21402	2699
888	21426	2675
889	21449	2651
890	21474	2627
891	21497	2602
892	21522	2578
893	21545	2554
894	21571	2530
895	21609	2508
896	21633	2484
897	21659	2460
898	21682	2435
899	21706	2411
900	21733	2387
901	21757	2363
902	21780	2339
903	21804	2315
904	21827	2291
905	21852	2267
906	21877	2243
907	21901	2219
908	21925	2194
909	21948	2170
910	21972	2146
911	21996	2122
912	22020	2098
913	22043	2074
914	22066	2049
915	22090	2025
916	22114	2001
917	22139	1977
918	22162	1953
919	22185	1929
920	22209	1905
921	22233	1880
922	22258	1856
923	22285	1833
924	22309	1808
925	22332	1784
926	22356	1760
927	22379	1736
928	22405	1712
929	22428	1688
930	22452	1664
931	22475	1639
932	22498	1615
933	22523	1591
934	22546	1567
935	22570	1543
936	22593	1519
937	22616	1494
938	22643	1470
939	22668	1446
940	22692	1422
941	22715	1398
942	22744	1374
943	22767	1350
944	22790	1326
945	22814	1302
946	22838	1278
947	22861	1254
948	22886	1229
949	22910	1205
950	22933	1181
951	22957	1157
952	22982	1133
953	23006	1109
954	23028	1085
955	23052	1060
956	23076	1036
957	23099	1012
958	23123	988
959	23148	964
960	23174	940
961	23197	916
962	23221	892
963	23244	868
964	23268	843
965	23291	819
966	23314	795
967	23338	771
968	23362	747
969	23387	723
970	23410	699
971	23432	675
972	23457	650
973	23481	626
974	23505	602
975	23528	578
976	23551	554
977	23575	530
978	23598	506
979	23623	482
980	23646	457
981	23672	433
982	23695	409
983	23720	385
984	23748	361
985	23782	337
986	23806	313
987	23828	289
988	23853	265
989	23877	241
990	23904	217
991	23927	192
992	23950	168
993	23973	144
994	23996	120
995	24022	96
996	24045	72
997	24069	48
998	24091	24
999	24114	0
